Song,Artist,Date,Streams,Url,Track_Id,Rank
CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",2020-05-15,"7,174,336",https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC,2tFwfmceQa1Y6nRPhYbEtC,77
BAD CON NICKY,"Bad Bunny, Nicky Jam",2020-05-15,"7,168,066",https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI,5bmSver2b3ZXyuyLKtgnFI,78
Morado,J Balvin,2020-05-15,"7,161,809",https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr,35KmOEIUqAGn02t7n4qaIr,79
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",2020-05-15,"7,017,495",https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,6cy3ki60hLwimwIje7tALf,80
Si Veo a Tu Mamá,Bad Bunny,2020-05-15,"6,967,070",https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,41wtwzCZkXwpnakmwJ239F,81
CANCIÓN CON YANDEL,"Yandel, Bad Bunny",2020-05-15,"6,896,664",https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R,3pm4XtcsRIFFtH2UErk62R,82
Shallow,"Lady Gaga, Bradley Cooper",2020-05-15,"6,831,943",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,83
Fame,Apache 207,2020-05-15,"6,813,985",https://open.spotify.com/track/3goH7O78TLkV9RhCAyM4AT,3goH7O78TLkV9RhCAyM4AT,84
MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",2020-05-15,"6,728,469",https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL,4EJHKSnHENfjOxXWryyNtL,85
Diosa,Myke Towers,2020-05-15,"6,726,872",https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky,3JHpk0DOTOzyh0777JFAky,86
Yummy,Justin Bieber,2020-05-15,"6,714,952",https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR,16wAOAZ2OkqoIDN7TpChjR,87
"10,000 Hours (with Justin Bieber)",Dan + Shay,2020-05-15,"6,573,643",https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2wrJq5XKLnmhRXHIAf9xBa,88
Flex (feat. Juice WRLD),Polo G,2020-05-15,"6,500,604",https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,2QqJTIlGKRLJC3onkavYEz,89
Ballin' (with Roddy Ricch),Mustard,2020-05-15,"6,491,055",https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,3QzAOrNlsabgbMwlZt7TAY,90
In Your Eyes (feat. Alida),Robin Schulz,2020-05-15,"6,413,722",https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC,61ZM92T2zaXIVsqncThQzC,91
X (with KAROL G),Jonas Brothers,2020-05-15,"6,344,615",https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY,77fvnWALKJR0ws1VUx09CY,92
Beautiful People (feat. Khalid),Ed Sheeran,2020-05-15,"6,338,620",https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,70eFcWOvlMObDhURTqT4Fv,93
BELIEVE IT,"PARTYNEXTDOOR, Rihanna",2020-05-15,"6,322,977",https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD,4HDCLYli2SUdkq9OjmvhSD,94
I’m Ready (with Demi Lovato),Sam Smith,2020-05-15,"6,313,018",https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY,1fipvP2zmef6vN2IwXfJhY,95
7 rings,Ariana Grande,2020-05-15,"6,279,485",https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,6ocbgoVGwYJhOv1GgI9NsF,96
High Fashion (feat. Mustard),Roddy Ricch,2020-05-15,"6,278,592",https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,07KXEDMj78x68D884wgVEm,97
