Song,Artist,Date,Streams,Url,Rank
Armed And Dangerous,Juice WRLD,2019-01-04,"6,427,376",https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,92
Say My Name,"David Guetta, Bebe Rexha, J Balvin",2019-01-04,"6,376,259",https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,93
No Stylist (feat. Drake),French Montana,2019-01-04,"6,360,105",https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,94
Roses (with Juice WRLD feat. Brendon Urie),benny blanco,2019-01-04,"6,321,324",https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47,95
Shotgun,George Ezra,2019-01-04,"6,296,836",https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,96
I Like Me Better,Lauv,2019-01-04,"6,258,578",https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,97
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",2019-01-04,"6,255,381",https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,98
I Love It (& Lil Pump),Kanye West,2019-01-04,"6,240,478",https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,99
FEFE,"6ix9ine, Nicki Minaj, Murda Beatz",2019-01-04,"6,229,148",https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,100
breathin,Ariana Grande,2019-01-04,"6,211,330",https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,101
I Fall Apart,Post Malone,2019-01-04,"6,165,561",https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,102
Rise,"Jonas Blue, Jack & Jack",2019-01-04,"6,149,574",https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,103
Ya No Tiene Novio,"Sebastian Yatra, Mau y Ricky",2019-01-04,"6,069,075",https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,104
NI BIEN NI MAL,Bad Bunny,2019-01-04,"6,039,873",https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,105
The Middle,"Zedd, Maren Morris, Grey",2019-01-04,"6,024,466",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,106
changes,XXXTENTACION,2019-01-04,"6,023,636",https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,107
YOSEMITE,Travis Scott,2019-01-04,"6,020,702",https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,108
Thunder,Imagine Dragons,2019-01-04,"6,016,230",https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,109
Undecided,Chris Brown,2019-01-04,"5,977,064",https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,110
FRIENDS,"Marshmello, Anne-Marie",2019-01-04,"5,968,014",https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,111
