,Song,Artist,Date,Streams,Url,Track_Id,Rank,valence
625,when the party's over,Billie Eilish,2019-01-25,"12,670,105",https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,14JzyD6FlBD5z0wV5P07YI,26,0.612303726106954
626,Baila Baila Baila,Ozuna,2019-01-25,"12,579,930",https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,7uH27oIt4a6cIFCA8ZPcyG,27,0.5070384393790948
627,Mo Bamba,Sheck Wes,2019-01-25,"12,539,927",https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1xzBco0xcoJEDXktl7Jxrr,28,0.011101126061136446
628,Lost in the Fire,"Gesaffelstein, The Weeknd",2019-01-25,"12,492,860",https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,7wFybC8jBH3zE139OpCtpG,29,0.3389727624833575
629,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,2019-01-25,"12,481,517",https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,5JEx7HbmvHQQswJCsoo9rA,30,0.1522669932125411
630,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Dua Lipa,2019-01-25,"12,007,264",https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l,5600nq7TiBraBX2jobyJ3l,31,0.2026812245483326
631,Better Now,Post Malone,2019-01-25,"11,976,581",https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,32,0.5936491799823664
632,SAD!,XXXTENTACION,2019-01-25,"11,847,064",https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2,33,0.22739118012706983
633,i'm so tired...,"Lauv, Troye Sivan",2019-01-25,"11,833,551",https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,7COXchtUOMd6uIT6HvmRaI,34,0.36857603572776154
634,Be Alright,Dean Lewis,2019-01-25,"11,574,095",https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,3EPXxR3ImUwfayaurPi3cm,35,0.5322034937568245
635,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",2019-01-25,"11,507,908",https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,0s5DNDV6LAKn2u2Ufa3VjQ,36,0.9785766707955259
636,Bohemian Rhapsody - 2011 Mix,Queen,2019-01-25,"11,390,824",https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,7tFiyTwD0nx5a1eklYtX2J,37,0.8353340542358874
637,Hope,"The Chainsmokers, Winona Oak",2019-01-25,"11,347,765",https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,4BiiOzZCrXEzHRLYcYFiD5,38,0.33984318300375804
638,Girls Like You (feat. Cardi B),Maroon 5,2019-01-25,"11,106,398",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,7fa9MBXhVfQ8P8Df9OEbD8,39,0.6347232939070291
639,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",2019-01-25,"10,721,135",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2cYnZNzFRFK0H7vSNxPsUq,40,0.6620764966492083
640,Lucid Dreams,Juice WRLD,2019-01-25,"10,659,734",https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,285pBltuF7vW8TeWk8hdRR,41,0.4001165322590312
641,Adictiva,"Daddy Yankee, Anuel AA",2019-01-25,"10,596,413",https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,6MJUCumnQsQEKbCy28tbCP,42,0.560084245483963
